,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.03,B,B,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,"Si je décide de refaire mon service, qu’est-ce que je conserve de l’ancien et comment je le nettoie de la toile ? ","Une bonne optimisation des enjeux NR passe aussi par la réutilisation des éléments qui ont été conçus avec une prise en compte du NR afin d'éviter de dupliquer certains éléments ou d'avoir des composants en double emploi, ou tout simplement inactifs, qui ne seraient maintenus que parce que l'effort de nettoyage n'a pas été pris en compte.",Revalorisation,Les  parties réutilisables de l'ancien site sont-elles décrites ?,Une stratégie globale d'archivage des sites/services numériques existe-t-elle dans l'entreprise ?,,,,RECO,*,,,#MAINT ; #DEBT,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Volume réutilsé,Volume service,Medium,OnUpdate,Analyse d'impact,,,,,,
STRATEGIE,STR-3.04,B,B,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,Est-ce que je peux recycler des briques logicielles ou du contenu existant ? Est-ce que je vais créer de la valeur réutilisable/valorisable dans d'autres projets ?,La conception modulaire est une pratique métier très largement employée. Le NR peut tirer un bénéfice de ces méthodes lorsque chaque composant modulaire est bien décrit et que ses atouts ou travers sont bien identifiés.,Revalorisation,"Existe-t-il un référentiel de briques logicielles partagées (authentification, base de compte utilisateurs, API génériques d'interconnections, etc.) ?",Une stratégie globale de mutualisation/capitalisation des réalisations inter-projets est-elle en place dans l'entreprise ?,,,,RECO,*,,,#MAINT ; #DEBT ; #METH,ProjectMngr ;  ITMngr ;,(X / Y ) * 100,Volume réutilsé,Fonctionnalités,Medium,OnUpdate,Fiche de cadrage projet,,,,,,
STRATEGIE,STR-3.C01,B,C,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,"Comment sont gérées les phases de fin de vie, dès le début ou à la fin d'un projet ?","Lors de la conception, chaque partie composant le projet peut être amenée à avoir une durée de vie différente. Il est important que l'ensemble des procédure de fin de vie soient exprimées pour que l'empreinte des composants inutilisés et arrêtés soient nulle.",Fin de Vie,Avez-vous listé l'ensemble des procédures de dé-provisionnement ?,"La modularité de la conception permettra-t-elle un déprovisionnement partiel, avec l'abandon de fonctionnalités obsolètes mais conservation de l'implémentation de certains processus métiers toujours utiles ?",,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.C02,C,C,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,"La prise de conscience des ""coûts de non-qualité"" est-elle partagée par toutes les parties prenantes internes ? ","La qualité du logiciel produit à un impact direct sur les aspects NR. En effet, les défauts génèrent de multiples livraisons de nouvelles versions successives, les anomalies entraînent des productions de traces d'anomalies importantes, et des fonctionnalités plus consommatrices de ressources techniques, parfois pour un résultat non atteint, donc des ressources ont été gaspillées pour ne produire aucun résultat.",Administration,"Les défauts de qualités sont-ils consignés, analysés et traités aussi sur l'axe NR ?",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.05,A,B,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,"Lors d'un audit, les éléments suivants sont-ils appréhendés ? A quel moment je gâche de l'énergie dans mon service ? Quels sont les pages/parcours utilisateurs en trop ou inutiles qui devraient donc être nettoyées ? ","Lorsque le parcours utilisateur est court, moins de composants sont mis en oeuvre, les flux sont plus réduits, la compréhension du service est plus simple, donc les aspects NR sont mieux pris en compte.",Utilisation,La consommation d'énergie est-elle mesurée pour chaque parcours-type du site ?,,,,,RECO,**,,,#PERF ; #VOL ; #USE ; #VALUE ;,ProjectMngr ; ITMngr ; Staff,(X / Y ) * 100,Parcours analysés,Parcours user,Medium,OnUpdate,"L'audit se base sur la cartographie des parcours / branches du service, pour analyser les volumes et charges d'utilisation générées et déterminer les améliorations nécesaires",,,,,,
STRATEGIE,STR-3.06,A,B,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,Les indicateurs pour mesurer l'efficacité de ma démarche NR sont-ils identifiés et suivis ?,"La mesure de certains éléments est un objectif qui permet de valoriser le résultat d'une démarche NR. La recherche d'indicateurs trop complexes peut s'avérer contre-productive, il vaut mieux s'attacher à des données fiables et marquantes et faire évoluer le nombre et la précision des indicateurs au fur et à mesure des gains de maturité de l'organisation et des acteurs internes",Administration,Quels sont les indicateurs définis pour mesurer l'efficacité de ma démarche NR?,,,,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #METH ; #GOV,ProjectMngr ; ProductOwner ; Manager ; RSE/NR ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,Periodic,Les extensions des navigateurs (ex: CHROME : extension GreenIT) sont utilisés et exposés pour valider l'efficacité.,,,,,,
STRATEGIE,STR-3.C03,B,B,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,Les outils pour mesurer l'efficacité de ma démarche NR sont-ils identifiés et communiqués ?,Permettre aux acteurs de valider les résultats obtenus par la prise en compte du NR est important car il permet à chacun de s'approprier cette démarche et de situer ses actions dans cet objectif avec des outils adaptés à chaque acteur,Administration,Quels sont les outils sélectionnés pour mesurer l'efficacité de ma démarche NR ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.07,B,B,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,La durée de vie du projet est-elle définie ?,"Un service numérique ne peut plus être conçu pour l'éternité, il est étroitement lié aux environnements socio-économiques. A cette fin, il doit pouvoir être remis en cause régulièrement. Ceci présente aussi l'avantage de ne pas cumuler de dettes techniques et de rester au fait des avancées et pratiques les plus efficaces dans les domaines NR qui évoluent très rapidement.",Fin de Vie,Avez-vous estimé la période durant laquelle le service sera utile ?,,,,,RECO,*,,,#PERF ; #VOL ; #SEC ; #USE,ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,,,,Medium,Once,Fiche de cadrage projet,,,,,,
STRATEGIE,STR-3.C04,B,A,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,Est ce que les expériences des projets passés sont prises en compte ?,"Beaucoup de projets au sein d'une organisation ont des principes communs, il est nécessaire de pouvoir s'appuyer sur d'autres projets pour capitaliser sur les gains et bénéfices des démarches NR du passé, et de les enrichir avec les nouvelles connaissances ou pratiques acquises.",Revalorisation,Combien de post-mortem de projets avez-vous de disponibles pour capitaliser sur les réalisations précédentes ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.C05,B,A,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,Est-il prévu de capitaliser l'expérience de ce projet pour le futur?,Les méthodologies projet utilisent fréquemment les post-mortem pour apprendre des réalisations passées et progresser. Le NR doit apparaître dans ces thématiques.,Revalorisation,Quelle production documentaire est associée au projet pour les aspects NR ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.C06,B,B,A,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,"Les indicateurs couvrent-ils les éléments pour mesurer, évaluer et estimer le niveau de maturité NR, le piloter, l’améliorer et le contrôler ?","La démarche NR est itérative, elle doit s'insérer dans un processus d'amélioration continue.",Administration,Les sources de données des indicateurs sont-elles fiables ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3.08,A,A,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,La conformité numérique responsable est-elle exposée ?,"Un service numérique concu en respectant les recommandations du numérique responsable doit exposer les acquis et faiblesses identfiés. Dans une démarche similaire à celle déployée pour l'accessibilité avec la ""déclaration d'accessibilité"".",Conception,Une déclaration de conception responsable est-elle disponible pour le service numérique ?,,,,,RECO,*,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #METH ; #GOV ;,ProjectMngr ; ProductOwner ; RSE/NR ;,(X / Y ) * 100,Document validé et exposé = 100 ; Partiel = 50 ; Prévu = 25 ; Non = 0,100,High,Once,"Document ""déclaration de conception responsable""",,,,,,
STRATEGIE,STR-4,,,,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable",,,,,,,,,,,ODD#10 ; ODD#12 ; ODD#13,,,,,,,,,,,,,,,
STRATEGIE,STR-4.C01,B,B,B,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable","En dehors des éléments constituant le service numérique, quels sont les services annexes nécessaires : technologie tiers / open source, hébergement vert, agence digitale éco-responsable ... ?","Les phases de design, de développements, de production ont des impacts sur les aspects NR qui doivent être abordés dans toutes les ressources associées au projet.",Acquisition,L'annexe technique du projet est-elle formalisée ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-4.C02,A,B,B,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable",Chaque fonction du service est-elle appréhendée en regard de son importance dans le service ?,Les fonctionnalités les plus importantes sont parfois moins consommatrices de ressources que des fonctions marginales ce qui n'a pas de sens dans une démarche NR cohérente.,Conception,Avez-vous appliqué une démarche 80/20 pour chaque fonction en rapport avec ses impacts environnementaux et son importance ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-4.01,C,C,B,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable","Est-ce qu'une donnée réglementée (santé, bancaire, ...)  est utilisée dans l'ensemble du système ?","L'exposition de l'utilisateur doit pouvoir être strictement encadrée. Au delà de la réglementation, c'est aussi la dimension humaine du NR qui est en jeu",Conception,Chaque donnée réglementée est-elle justifiée et identifiée ?,,,,,RECO,*,,,#SEC ; #USE ; #LEG,ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,Once,Analyse de risques,,,,,,
STRATEGIE,STR-4.02,C,C,B,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable",Des données personnelles au sens du RGPD sont-elles utilisées ?,"L'utilisateur vous confie des données. Pour prendre en considération l'aspect PEOPLE, et ne pas s'exposer à des sanctions onéreuses, la démarche NR incite à fortement limiter ces données.",Conception,Chaque donnée personnelle est-elle répertoriée et gérée ?,,,,,RECO,*,,,#SEC ; #USE ; #LEG,ProductOwner ;,,,,High,Once,Analyse de risques,,,,,,
STRATEGIE,STR-4.C03,B,B,B,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable",Est ce que le choix de solutions Open Source est privilégié ? ,Une solution Open Source n'est pas un gage d'efficacité NR et les différentes alternatives doivent être challengées. Mais l'open source permet de limiter les ambitions et mainmises de certains acteurs dont les pratiques économiques et sociales sont opaques. ,Acquisition,De quelles métriques NR disposez-vous pour les solutions Open Source envisagées ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-4.C04,B,B,B,"Prévoir, préparer et valider les éléments techniques du projet pour la conformité avec le Numérique Responsable","Les outils intégrés (CMS, frameworks, ...), ou les développements internes, apportent-ils des éléments positifs vis à vis de la démarche NR ?",Dans les choix BUY/BUILD la dimension NR doit pouvoir être évaluée et projetée dans le temps pour s'assurer que les choix sont suffisamment évolutifs pour permettre de gagner en conformité NR au fil du temps. Et pas uniquement sur la phase de développement / intégration.,Acquisition,De quelles métriques NR disposez-vous pour les solutions déployées en interne ?,De quelles métriques NR disposez-vous pour les solutions intégrées ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
